Name,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SFG,HBP,AVG,OBP,SLG,OPS
Tyler Soderstrom,ATH,1B,23,60,226,31,59,11,0,12,36,2,0,22,65,0,1,3,0.261,0.333,0.469,0.802
Tyler Stephenson,CIN,C,28,24,84,10,19,5,0,4,13,0,0,11,37,0,1,0,0.226,0.313,0.429,0.742
Tyler Tolbert,KCR,SS,27,13,5,3,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0
Tyler Wade,SDP,3B,30,33,69,9,17,1,1,0,6,0,2,11,23,2,0,0,0.246,0.35,0.29,0.64
Tyrone Taylor,NYM,OF,31,52,156,18,38,7,3,1,9,5,1,6,37,1,0,7,0.244,0.302,0.346,0.648
Victor Caratini,HOU,C,31,37,110,12,31,5,0,3,10,0,0,8,20,0,1,5,0.282,0.355,0.409,0.764
Victor Mesa,MIA,OF,23,4,7,1,1,0,0,0,1,0,0,2,1,1,0,0,0.143,0.333,0.143,0.476
Victor Robles,SEA,OF,28,10,44,3,12,3,0,0,3,3,0,0,7,0,1,1,0.273,0.283,0.341,0.624
Victor Scott II,STL,OF,24,55,176,28,45,8,1,2,19,16,1,19,53,3,2,2,0.256,0.332,0.347,0.679
Vidal Brujan,CHC,2B,27,18,20,3,5,2,0,0,2,1,1,0,5,0,0,0,0.25,0.25,0.35,0.6
Vinnie Pasquantino,KCR,1B,27,59,228,22,58,6,1,8,31,0,0,16,44,0,1,3,0.254,0.31,0.395,0.705
Vinny Capra,MIL,3B,28,24,54,6,4,0,0,1,4,1,0,2,15,1,1,1,0.074,0.121,0.13,0.251
Vinny Capra,CHW,3B,28,6,8,2,1,1,0,0,0,0,0,0,2,0,0,0,0.125,0.125,0.25,0.375
Vladimir Guerrero Jr.,TOR,1B,26,59,219,35,62,10,0,8,28,0,1,37,40,0,2,3,0.283,0.391,0.438,0.829
Wenceel Perez,DET,OF,25,5,14,3,4,1,0,1,1,0,0,0,6,0,0,1,0.286,0.333,0.571,0.904
Weston Wilson,PHI,OF,30,16,28,3,5,0,0,1,3,0,0,5,10,0,0,0,0.179,0.303,0.286,0.589
Will Benson,CIN,OF,26,20,62,9,16,3,0,5,14,1,1,5,17,0,2,1,0.258,0.314,0.548,0.862
Will Brennan,CLE,OF,27,6,11,0,1,0,0,0,0,0,1,1,1,0,0,1,0.091,0.231,0.091,0.322
Will Smith,LAD,C,30,47,153,25,51,11,0,5,30,2,3,31,32,0,3,2,0.333,0.444,0.503,0.947
Will Wagner,TOR,2B,26,20,59,4,11,2,0,0,2,1,0,8,15,1,0,0,0.186,0.284,0.22,0.504
Will Wilson,CLE,2B,26,19,37,2,8,3,0,0,0,0,0,4,13,1,0,1,0.216,0.31,0.297,0.607
Willi Castro,MIN,OF,28,38,130,21,32,9,0,4,10,3,0,12,35,0,0,4,0.246,0.329,0.408,0.737
