Team,Name,W,ERA,WHIP,SO,SV,HLD,Total Z-Score
CHC,Jameson Taillon,-0.21687259034314052,-0.6372382806593394,0.5570763936458057,-0.5760820831556124,,,-0.8731165605122866
KCR,Michael Lorenzen,-0.21687259034314052,-0.2898417490722037,-0.35648055558679537,-0.09932449709579524,,,-0.9625193920979349
MIN,Bailey Ober,0.4578421351688518,-0.20299261617541992,-0.7117527025105851,-0.6555416808322486,,,-1.1124448643494018
CLE,Gavin Williams,0.4578421351688518,-0.4538901112105734,-1.6253096517431862,0.4568926866406581,,,-1.1644649411442498
CIN,Nick Martinez,-0.8915873158551328,0.038254975204535524,0.3033105744145284,-0.6555416808322486,,,-1.2055634470683176
NYM,David Peterson,-0.8915873158551328,0.5882994835508342,-0.6609995386643295,-0.3377032901257038,,,-1.301990661094332
WSN,Jake Irvin,-0.21687259034314052,-0.395990689279384,0.20180424672201708,-0.8939204738621571,,,-1.3049795067626646
CIN,Brady Singer,1.1325568606808443,-1.3609810547992058,-0.7625058663568408,-0.41716288780234,,,-1.4080929482775424
TBR,Taj Bradley,0.4578421351688518,-1.1004336561088544,-0.5594932109718181,-0.25824369244906764,,,-1.4603284243608883
MIL,Chad Patrick,-0.8915873158551328,0.23125304830850005,-0.3057273917405397,-0.4966224854789762,,,-1.4626841447661487
ATL,Grant Holmes,-0.8915873158551328,-0.5214394367969607,0.10029791902950573,-0.17878409477243143,,,-1.4915129283950193
SDP,Dylan Cease,-1.5663020413671251,-0.9942847159016737,-0.20422106404802834,1.0131098703771115,,,-1.7516979509397153
TBR,Zack Littell,-0.21687259034314052,-0.7530371245217182,0.25255741056827274,-1.0528396692154296,,,-1.7701919735120155
LAD,Dustin May,-0.8915873158551328,-0.5986386660385465,-0.20422106404802834,-0.17878409477243143,,,-1.8732311407141393
ARI,Zac Gallen,-0.21687259034314052,-1.6118785498343593,-0.9147653578956068,0.6158118819939304,,,-2.1277046160791766
WSN,Mitchell Parker,0.4578421351688518,-0.8881357756944929,-0.5087400471255624,-1.2117588645687019,,,-2.1507925522199054
LAA,Jose Soriano,-0.21687259034314052,-0.09684367596823922,-1.4222969963581635,-0.41716288780234,,,-2.153176150471883
STL,Andre Pallante,0.4578421351688518,-0.6854877989353304,-0.7117527025105851,-1.2912184622453382,,,-2.230616828522402
STL,Erick Fedde,-0.21687259034314052,-0.2898417490722037,-0.35648055558679537,-1.3706780599219743,,,-2.233872954924114
TBR,Ryan Pepiot,-0.8915873158551328,-0.5021396294865648,-0.5594932109718181,-0.3377032901257038,,,-2.2909234464392196
CHW,Jonathan Cannon,-0.8915873158551328,-0.2801918454170053,-0.5594932109718181,-0.7350012785088847,,,-2.466273650752841
CHW,Davis Martin,-0.8915873158551328,-0.01964444672665383,-0.35648055558679537,-1.2117588645687019,,,-2.479471182737284
CLE,Tanner Bibee,-0.21687259034314052,-0.5696889550729517,-0.45798688327930676,-1.2912184622453382,,,-2.535766890940737
CLE,Luis L. Ortiz,-0.8915873158551328,-1.1486831743848451,-0.9655185217418624,0.3774330889640219,,,-2.6283559230178186
PIT,Mitch Keller,-1.5663020413671251,-0.395990689279384,-0.5594932109718181,-0.25824369244906764,,,-2.780029634067395
MIN,Chris Paddack,-0.8915873158551328,-0.4924897258313663,-0.15346790020177267,-1.2912184622453382,,,-2.82876340413361
ATH,Luis Severino,-1.5663020413671251,-0.7240874135561233,-0.35648055558679537,-0.4966224854789762,,,-3.1434924959890203
TOR,Jose Berrios,-1.5663020413671251,-0.6951377025905292,-1.1685311771268851,0.13905429593411334,,,-3.290916625150426
SDP,Randy Vasquez,-0.21687259034314052,-0.01964444672665383,-1.1685311771268851,-1.9268952436584277,,,-3.3319434578551075
TBR,Shane Baz,-0.21687259034314052,-1.7952267192831257,-1.0670248494343737,-0.25824369244906764,,,-3.337367851509707
LAA,Yusei Kikuchi,-2.2410167668791177,-0.029294350381851842,-1.2192843409731409,-0.09932449709579524,,,-3.5889199553299056
